hospitals,schools,police,cafes,parks,malls,transit,locality,lifestyle_raw,safety_raw,osm_snapshot
39,1,0,3,39,3,18,Hadapsar,125.7,0,2026-06-29
21,2,2,3,8,1,6,Kharadi,52.9,2,2026-06-29
24,28,3,45,14,3,68,Hinjewadi,202.6,3,2026-06-29
49,5,4,6,1,0,9,Wagholi,95.5,4,2026-06-29
32,27,2,46,14,2,50,Wakad,194.4,2,2026-06-29
16,13,1,45,15,0,91,Baner,190.6,1,2026-06-29
7,9,0,5,2,3,8,Lohegaon,42.3,0,2026-06-29
5,4,2,1,11,2,3,Undri,31.3,2,2026-06-29
9,2,1,1,23,3,8,Keshav Nagar,53.9,1,2026-06-29
12,5,0,3,11,1,9,Dhanori,49.0,0,2026-06-29
8,3,0,0,4,0,11,Manjri,30.6,0,2026-06-29
18,12,3,8,12,6,19,Viman Nagar,92.4,3,2026-06-29
17,14,2,46,14,2,96,Balewadi,202.3,2,2026-06-29
30,1,1,3,38,3,12,Magarpatta,105.2,1,2026-06-29
26,22,3,35,17,3,76,Aundh,199.4,3,2026-06-29
17,10,2,21,26,4,24,Wadgaon Sheri,116.5,2,2026-06-29
24,14,3,27,25,13,33,Kalyani Nagar,163.8,3,2026-06-29
6,4,1,3,6,1,7,Punawale,31.8,1,2026-06-29
32,7,1,4,44,8,25,Pimpri Chinchwad,145.4,1,2026-06-29
23,9,2,8,20,4,8,Kondhwa,89.3,2,2026-06-29
17,2,1,3,5,1,4,EON Free Zone,41.9,1,2026-06-29
11,8,0,6,10,3,3,NIBM Road,51.1,0,2026-06-29
30,17,5,38,25,5,43,Koregaon Park,181.4,5,2026-06-29
10,6,3,24,20,1,24,Bavdhan,92.2,3,2026-06-29
29,4,2,6,18,0,40,Katraj,112.3,2,2026-06-29
7,4,1,4,25,4,0,Moshi,52.3,1,2026-06-29
6,2,2,15,2,2,45,Mahalunge,77.4,2,2026-06-29
