locality,nearest_hub,commute_km,commute_min
Hadapsar,Kharadi,7.41,8.0
Kharadi,Kharadi,0.0,0.0
Hinjewadi,Hinjewadi,0.0,0.0
Wagholi,Kharadi,7.13,6.1
Wakad,Hinjewadi,3.03,4.0
Baner,Hinjewadi,6.94,9.5
Lohegaon,Kharadi,6.25,11.9
Undri,Shivaji Nagar,14.21,13.0
Keshav Nagar,Kharadi,3.31,4.3
Dhanori,Shivaji Nagar,10.68,12.2
Manjri,Kharadi,11.28,11.9
Viman Nagar,Kharadi,5.29,6.4
Balewadi,Hinjewadi,5.66,8.6
Magarpatta,Kharadi,6.22,8.7
Aundh,Shivaji Nagar,5.93,6.8
Wadgaon Sheri,Kharadi,6.61,8.9
Kalyani Nagar,Kharadi,7.07,7.6
Punawale,Hinjewadi,7.57,8.8
Pimpri Chinchwad,Hinjewadi,9.44,11.3
Kondhwa,Shivaji Nagar,10.95,10.9
EON Free Zone,Kharadi,1.4,2.9
NIBM Road,Shivaji Nagar,12.66,13.6
Koregaon Park,Shivaji Nagar,7.46,8.3
Bavdhan,Shivaji Nagar,10.37,11.9
Katraj,Shivaji Nagar,11.19,13.8
Moshi,Hinjewadi,17.74,17.4
Mahalunge,Hinjewadi,5.6,9.5
