Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
site_5405,Maharashtra,Pune,"Alandi, Pune - IITM",2024-01-01T00:00:00.000000+0000,62.46,119.11,6.97,13.98,20.96,,,0.73,3.0,1.95,,,,,1.65,,,,,,,,,
site_5405,Maharashtra,Pune,"Alandi, Pune - IITM",2024-01-01T00:15:00.000000+0000,62.46,119.11,6.51,12.96,19.48,,,0.68,3.0,1.63,,,,,1.36,,,,,,,,,
site_5405,Maharashtra,Pune,"Alandi, Pune - IITM",2024-01-01T00:30:00.000000+0000,62.46,119.11,6.25,12.4,18.65,,,0.65,3.0,1.56,,,,,1.3,,,,,,,,,
site_5405,Maharashtra,Pune,"Alandi, Pune - IITM",2024-01-01T00:45:00.000000+0000,59.1,109.06,6.16,12.18,18.34,,,0.63,3.0,1.54,,,,,1.28,,,,,,,,,
site_5405,Maharashtra,Pune,"Alandi, Pune - IITM",2024-01-01T01:00:00.000000+0000,57.06,102.97,7.51,15.16,22.67,,,0.83,4.0,1.84,,,,,1.56,,,,,,,,,
site_5405,Maharashtra,Pune,"Alandi, Pune - IITM",2024-01-01T01:15:00.000000+0000,57.06,102.97,6.71,13.4,20.1,,,0.71,4.0,1.67,,,,,1.4,,,,,,,,,
site_5405,Maharashtra,Pune,"Alandi, Pune - IITM",2024-01-01T01:30:00.000000+0000,57.06,102.97,6.18,12.23,18.41,,,0.65,6.0,1.55,,,,,1.29,,,,,,,,,
site_5405,Maharashtra,Pune,"Alandi, Pune - IITM",2024-01-01T01:45:00.000000+0000,54.69,102.6,5.98,11.8,17.79,,,0.59,7.0,1.48,,,,,1.22,,,,,,,,,
site_5405,Maharashtra,Pune,"Alandi, Pune - IITM",2024-01-01T02:00:00.000000+0000,53.33,102.38,6.83,13.67,20.5,,,0.69,5.0,1.65,,,,,1.38,,,,,,,,,
site_5405,Maharashtra,Pune,"Alandi, Pune - IITM",2024-01-01T02:15:00.000000+0000,53.33,102.38,5.8,11.39,17.19,,,0.58,5.0,1.46,,,,,1.2,,,,,,,,,
site_5405,Maharashtra,Pune,"Alandi, Pune - IITM",2024-01-01T02:30:00.000000+0000,53.33,102.38,5.6,10.96,16.56,,,0.56,5.0,1.43,,,,,1.17,,,,,,,,,
site_5405,Maharashtra,Pune,"Alandi, Pune - IITM",2024-01-01T02:45:00.000000+0000,56.99,84.86,6.15,12.16,18.31,,,0.61,5.0,1.54,,,,,1.27,,,,,,,,,
site_5405,Maharashtra,Pune,"Alandi, Pune - IITM",2024-01-01T03:00:00.000000+0000,59.11,74.71,6.53,13.01,19.55,,,0.65,7.0,1.59,,,,,1.32,,,,,,,,,
site_5405,Maharashtra,Pune,"Alandi, Pune - IITM",2024-01-01T03:15:00.000000+0000,59.11,74.71,5.71,11.2,16.91,,,0.57,7.0,1.44,,,,,1.18,,,,,,,,,
site_5405,Maharashtra,Pune,"Alandi, Pune - IITM",2024-01-01T03:30:00.000000+0000,59.11,74.71,6.12,12.11,18.23,,,0.62,6.0,1.51,,,,,1.25,,,,,,,,,
site_5405,Maharashtra,Pune,"Alandi, Pune - IITM",2024-01-01T03:45:00.000000+0000,49.95,69.35,6.89,13.79,20.67,,,0.77,4.0,1.75,,,,,1.47,,,,,,,,,
site_5405,Maharashtra,Pune,"Alandi, Pune - IITM",2024-01-01T04:00:00.000000+0000,44.65,66.24,8.82,18.04,26.86,,,1.09,2.0,2.18,,,,,1.87,,,,,,,,,
