Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
site_6012,Maharashtra,Pune,"Dhankawadi, Pune - IITM",2025-01-15T11:15:00.000000+0000,59.14,125.3,6.04,24.26,17.71,,,0.85,29.0,1.11,3.03,,,1.27,1.47,,,,,,,,,
site_6012,Maharashtra,Pune,"Dhankawadi, Pune - IITM",2025-01-15T11:30:00.000000+0000,59.14,125.3,7.4,22.35,17.62,,,0.69,30.0,0.97,2.63,,,1.1,1.28,,,,,,,,,
site_6012,Maharashtra,Pune,"Dhankawadi, Pune - IITM",2025-01-15T11:45:00.000000+0000,59.14,125.3,9.59,27.08,21.56,,,0.55,31.0,0.82,2.24,,,0.93,1.09,,,,,,,,,
site_6012,Maharashtra,Pune,"Dhankawadi, Pune - IITM",2025-01-15T12:00:00.000000+0000,49.71,98.0,10.69,23.24,21.03,,,0.47,31.0,0.8,2.19,,,0.91,1.06,,,,,,,,,
site_6012,Maharashtra,Pune,"Dhankawadi, Pune - IITM",2025-01-15T12:15:00.000000+0000,45.0,87.08,15.13,28.35,27.38,,,0.36,60.33,0.7,1.92,,,0.79,0.93,,,,,,,,,
site_6012,Maharashtra,Pune,"Dhankawadi, Pune - IITM",2025-01-15T12:30:00.000000+0000,45.0,87.08,17.07,26.21,27.82,,,0.44,59.15,0.67,1.83,,,0.76,0.89,,,,,,,,,
site_6012,Maharashtra,Pune,"Dhankawadi, Pune - IITM",2025-01-15T12:45:00.000000+0000,45.0,87.08,10.22,22.36,19.11,,,0.25,65.52,0.6,1.65,,,0.68,0.8,,,,,,,,,
site_6012,Maharashtra,Pune,"Dhankawadi, Pune - IITM",2025-01-15T13:00:00.000000+0000,40.13,71.12,10.65,33.63,26.39,,,0.22,72.96,0.51,1.4,,,0.57,0.67,,,,,,,,,
site_6012,Maharashtra,Pune,"Dhankawadi, Pune - IITM",2025-01-15T13:15:00.000000+0000,37.62,67.14,8.17,25.44,20.17,,,0.22,70.21,0.53,1.44,,,0.59,0.69,,,,,,,,,
site_6012,Maharashtra,Pune,"Dhankawadi, Pune - IITM",2025-01-15T13:30:00.000000+0000,37.62,67.14,13.34,24.17,23.7,,,0.16,74.38,0.43,1.18,,,0.48,0.57,,,,,,,,,
