Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
site_5407,Maharashtra,Pune,"Hadapsar, Pune - IITM",2024-05-20T10:00:00.000000+0000,51.18,77.16,1.91,11.65,7.75,,,,68.52,3.2,15.46,4.34,,3.37,12.92,,,,,,,,,
site_5407,Maharashtra,Pune,"Hadapsar, Pune - IITM",2024-05-20T10:15:00.000000+0000,45.94,70.28,1.54,12.95,8.14,,,,74.78,2.37,11.02,4.18,,3.1,12.4,,,,,,,,,
site_5407,Maharashtra,Pune,"Hadapsar, Pune - IITM",2024-05-20T10:30:00.000000+0000,45.94,70.28,4.52,17.88,13.19,,,,63.93,1.82,6.08,2.24,,1.73,4.6,,,,,,,,,
site_5407,Maharashtra,Pune,"Hadapsar, Pune - IITM",2024-05-20T10:45:00.000000+0000,45.94,70.28,6.0,22.75,16.98,,,,68.41,2.0,7.94,2.59,,1.97,5.82,,,,,,,,,
site_5407,Maharashtra,Pune,"Hadapsar, Pune - IITM",2024-05-20T11:00:00.000000+0000,48.19,73.99,2.78,17.49,11.57,,,,92.11,2.21,9.86,2.98,,2.17,7.56,,,,,,,,,
site_5407,Maharashtra,Pune,"Hadapsar, Pune - IITM",2024-05-20T11:15:00.000000+0000,51.9,79.93,1.2,11.93,7.32,,,,107.17,2.78,13.37,4.16,,2.93,12.36,,,,,,,,,
site_5407,Maharashtra,Pune,"Hadapsar, Pune - IITM",2024-05-20T11:30:00.000000+0000,51.9,79.93,7.56,26.09,20.03,,,,62.66,1.86,7.67,2.72,,1.83,6.28,,,,,,,,,
site_5407,Maharashtra,Pune,"Hadapsar, Pune - IITM",2024-05-20T11:45:00.000000+0000,51.9,79.93,2.22,17.89,11.33,,,,93.67,1.72,5.93,2.02,,1.36,3.8,,,,,,,,,
site_5407,Maharashtra,Pune,"Hadapsar, Pune - IITM",2024-05-20T12:00:00.000000+0000,47.5,73.95,1.47,12.14,7.65,,,,93.63,2.45,11.66,3.18,,2.27,8.41,,,,,,,,,
site_5407,Maharashtra,Pune,"Hadapsar, Pune - IITM",2024-05-20T12:15:00.000000+0000,40.44,61.36,2.18,14.63,9.56,,,,90.29,1.81,7.33,2.67,,1.72,6.34,,,,,,,,,
