Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T00:00:00.000000+0000,32.83,95.2,7.72,1.28,5.53,,12.3,0.94,4.14,2.05,,,,,,,,1.69,206.99,,0.0,,873.98,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T00:15:00.000000+0000,32.83,95.2,8.03,1.32,5.63,,12.3,0.94,4.14,2.05,,,,,,,,1.69,210.77,,0.0,,889.96,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T00:30:00.000000+0000,32.83,95.2,8.23,1.31,5.6,,12.3,0.94,4.14,2.05,,,,,,,,1.69,209.65,,0.0,,885.2,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T00:45:00.000000+0000,32.96,95.6,7.64,1.29,5.56,,12.35,0.94,4.16,2.06,,,,,,,,1.7,208.19,,0.0,,879.07,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T01:00:00.000000+0000,34.03,98.7,7.32,1.28,5.54,,12.75,0.97,4.29,2.12,,,,,,,,1.75,207.49,,0.0,,876.1,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T01:15:00.000000+0000,34.03,98.7,7.54,1.3,5.62,,12.75,0.97,4.29,2.12,,,,,,,,1.75,210.24,,0.0,,887.72,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T01:30:00.000000+0000,34.03,98.7,7.36,1.28,5.57,,12.75,0.97,4.29,2.12,,,,,,,,1.75,208.54,,0.0,,880.54,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T01:45:00.000000+0000,34.29,99.45,7.61,1.29,5.58,,12.84,0.98,4.32,2.14,,,,,,,,1.77,208.89,,0.0,,881.99,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T02:00:00.000000+0000,35.72,103.6,7.89,1.29,5.56,,13.38,1.02,4.5,2.23,,,,,,,,1.84,208.04,,0.0,,878.4,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T02:15:00.000000+0000,35.72,103.6,8.23,1.31,5.6,,13.38,1.02,4.5,2.23,,,,,,,,1.84,209.57,,0.0,,884.87,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T02:30:00.000000+0000,35.72,103.6,7.28,1.29,5.59,,13.38,1.02,4.5,2.23,,,,,,,,1.84,209.23,,0.0,,883.44,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T02:45:00.000000+0000,36.15,104.83,7.48,1.29,5.57,,13.54,1.03,4.56,2.26,,,,,,,,1.86,208.59,,0.0,,880.76,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T03:00:00.000000+0000,38.62,112.0,8.85,1.31,5.55,,14.46,1.11,4.87,2.41,,,,,,,,1.99,207.63,,0.0,,876.67,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T03:15:00.000000+0000,38.62,112.0,8.03,1.31,5.61,,14.46,1.11,4.87,2.41,,,,,,,,1.99,209.86,,0.0,,886.09,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T03:30:00.000000+0000,38.62,112.0,8.0,1.3,5.58,,14.46,1.11,4.87,2.41,,,,,,,,1.99,208.68,,0.0,,881.13,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T03:45:00.000000+0000,37.85,109.78,7.84,1.27,5.48,,14.18,1.08,4.77,2.36,,,,,,,,1.95,205.03,,0.0,,865.7,
