Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T00:00:00.000000+0000,74.37,228.61,7.55,15.24,22.78,,,0.93,13.0,,,,,,,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T00:15:00.000000+0000,74.37,228.61,7.63,15.42,23.04,,,0.91,13.0,1.97,,,,,1.59,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T00:30:00.000000+0000,77.79,217.86,7.9,16.03,23.93,,,0.93,12.0,2.04,,,,,1.64,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T00:45:00.000000+0000,78.96,214.17,7.55,15.25,22.81,,,0.89,14.0,1.93,,,,,1.55,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T01:00:00.000000+0000,78.96,214.17,7.78,15.76,23.55,,,0.92,16.0,2.0,,,,,1.61,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T01:15:00.000000+0000,78.96,214.17,8.03,16.31,24.34,,,0.92,16.0,2.0,,,,,1.61,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T01:30:00.000000+0000,81.28,198.33,7.13,14.32,21.44,,,0.83,28.0,1.83,,,,,1.47,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T01:45:00.000000+0000,82.03,193.2,7.33,14.77,22.1,,,0.87,22.0,1.97,,,,,1.58,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T02:00:00.000000+0000,82.03,193.2,7.74,15.66,23.4,,,0.92,21.0,2.05,,,,,1.65,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T02:15:00.000000+0000,82.03,193.2,8.27,16.83,25.1,,,0.99,16.0,2.14,,,,,1.73,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T02:30:00.000000+0000,64.78,173.58,8.34,16.98,25.31,,,1.0,17.0,2.15,,,,,1.74,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T02:45:00.000000+0000,59.2,167.23,8.38,17.08,25.47,,,1.01,21.0,2.17,,,,,1.75,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T03:00:00.000000+0000,59.2,167.23,7.77,15.74,23.52,,,0.93,27.0,2.0,,,,,1.61,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T03:15:00.000000+0000,59.2,167.23,7.87,15.95,23.83,,,0.94,26.0,2.04,,,,,1.64,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T03:30:00.000000+0000,61.83,163.3,7.6,15.36,22.96,,,0.91,29.0,1.94,,,,,1.55,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T03:45:00.000000+0000,62.69,162.02,7.5,15.14,22.65,,,0.89,30.0,1.9,,,,,1.52,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T04:00:00.000000+0000,62.69,162.02,8.02,16.28,24.29,,,0.95,30.0,2.1,,,,,1.7,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T04:15:00.000000+0000,62.69,162.02,8.52,17.37,25.89,,,1.04,20.0,2.24,,,,,1.81,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T04:30:00.000000+0000,57.45,131.24,8.99,18.41,27.39,,,1.1,15.0,2.31,,,,,1.87,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T04:45:00.000000+0000,55.76,121.28,8.74,17.86,26.61,,,1.06,18.0,2.28,,,,,1.84,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T05:00:00.000000+0000,55.76,121.28,8.29,16.87,25.16,,,0.99,17.0,2.13,,,,,1.72,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T05:15:00.000000+0000,55.76,121.28,8.11,16.48,24.6,,,0.97,14.0,2.08,,,,,1.68,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T05:30:00.000000+0000,53.49,114.03,8.29,16.88,25.18,,,0.99,12.0,2.14,,,,,1.73,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T05:45:00.000000+0000,52.76,111.68,8.75,17.89,26.64,,,1.06,9.0,2.25,,,,,1.82,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T06:00:00.000000+0000,52.76,111.68,8.66,17.68,26.34,,,1.04,6.0,2.21,,,,,1.78,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T06:15:00.000000+0000,52.76,111.68,8.59,17.54,26.13,,,1.03,8.0,2.23,,,,,1.8,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T06:30:00.000000+0000,50.52,116.88,8.38,17.07,25.45,,,1.0,8.0,2.16,,,,,1.74,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T06:45:00.000000+0000,49.8,118.56,8.64,17.64,26.29,,,1.04,6.0,2.24,,,,,1.81,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T07:00:00.000000+0000,49.8,118.56,8.24,16.76,25.0,,,0.99,9.0,2.13,,,,,1.71,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T07:15:00.000000+0000,49.8,118.56,7.85,15.91,23.77,,,0.93,10.0,2.04,,,,,1.64,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T07:30:00.000000+0000,52.55,128.67,8.07,16.39,24.46,,,0.97,7.0,2.09,,,,,1.68,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T07:45:00.000000+0000,53.43,131.94,8.27,16.83,25.1,,,0.99,6.0,2.11,,,,,1.7,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T08:00:00.000000+0000,53.43,131.94,8.04,16.32,24.36,,,0.96,9.0,2.1,,,,,1.69,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T08:15:00.000000+0000,53.43,131.94,8.57,17.48,26.05,,,1.03,9.0,2.31,,,,,1.88,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T08:30:00.000000+0000,66.47,141.42,10.01,20.65,30.66,,,1.23,5.0,2.58,,,,,2.1,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T08:45:00.000000+0000,70.69,144.48,8.94,18.3,27.23,,,1.08,4.0,2.26,,,,,1.83,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T09:00:00.000000+0000,70.69,144.48,7.98,16.19,24.16,,,0.94,8.0,2.09,,,,,1.68,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T09:15:00.000000+0000,70.69,144.48,7.89,15.99,23.88,,,0.93,20.0,2.06,,,,,1.66,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T09:30:00.000000+0000,71.31,147.25,7.57,15.29,22.86,,,0.9,8.0,1.94,,,,,1.56,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T09:45:00.000000+0000,71.51,148.15,7.8,15.79,23.58,,,0.92,26.0,2.01,,,,,1.61,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T10:00:00.000000+0000,71.51,148.15,7.93,16.08,24.01,,,0.95,38.0,2.07,,,,,1.67,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T10:15:00.000000+0000,71.51,148.15,7.79,15.78,23.57,,,0.92,41.0,1.99,,,,,1.6,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T10:30:00.000000+0000,65.77,148.8,7.74,15.67,23.41,,,0.92,38.0,2.0,,,,,1.61,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T10:45:00.000000+0000,63.91,149.02,7.44,15.01,22.45,,,0.88,41.0,1.92,,,,,1.54,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T11:00:00.000000+0000,63.91,149.02,7.92,16.07,23.99,,,0.94,43.0,1.96,,,,,1.57,,,,,,,,,
site_5408,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2024-01-01T11:15:00.000000+0000,63.91,149.02,7.72,15.62,23.34,,,0.92,50.0,2.0,,,,,1.61,,,,,,,,,
