Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T00:00:00.000000+0000,56.42,125.19,13.57,35.27,41.87,31.82,1.42,2.53,0.42,3.62,16.86,,,1.63,6.0,25.19,56.75,0.45,174.65,0.0,0.0,0.0,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T00:15:00.000000+0000,56.42,125.19,13.27,34.91,41.66,31.66,3.1,2.59,0.54,3.7,17.27,,,1.7,6.14,24.69,58.11,0.28,208.57,0.0,0.0,0.0,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T00:30:00.000000+0000,56.42,125.19,17.97,38.82,41.93,31.84,3.96,2.72,,4.0,18.32,,,1.84,6.46,24.53,58.65,0.39,21.22,0.0,0.0,0.0,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T00:45:00.000000+0000,62.01,137.81,24.79,43.55,40.51,30.79,4.0,2.82,1.15,4.15,18.95,,,1.96,6.73,24.19,61.07,0.33,202.98,0.0,0.0,0.0,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T01:00:00.000000+0000,63.93,142.15,15.24,35.05,38.89,29.56,3.69,2.82,0.64,4.63,19.46,,,2.09,7.0,24.03,62.28,0.27,92.83,0.0,0.0,0.0,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T01:15:00.000000+0000,63.93,142.15,22.36,40.81,38.98,29.63,4.54,2.99,,4.45,20.14,,,2.17,7.22,23.76,63.32,0.58,76.35,0.0,0.0,0.0,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T01:30:00.000000+0000,63.93,142.15,15.74,35.12,38.28,29.11,3.68,2.96,1.34,4.6,20.8,,,2.3,7.52,23.49,63.96,0.4,108.47,0.0,0.0,0.0,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T01:45:00.000000+0000,77.06,171.79,20.02,38.31,37.81,28.73,3.47,2.93,0.79,4.79,21.46,,,2.4,7.77,23.3,64.69,0.59,69.23,0.0,0.0,0.0,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T02:00:00.000000+0000,81.57,181.97,13.28,32.58,37.18,28.26,3.68,2.96,0.8,4.76,21.59,,,2.47,7.86,23.3,65.18,0.74,92.55,0.0,0.0,0.0,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T02:15:00.000000+0000,81.57,181.97,8.63,28.49,36.5,27.74,3.06,2.84,0.09,4.73,21.56,,,2.47,7.9,23.33,64.53,0.65,107.39,0.0,0.0,0.0,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T02:30:00.000000+0000,,,,,,,,,,,,,,,,,,,,,0.0,,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T02:45:00.000000+0000,,,,,,,,,,,,,,,,,,,,,0.0,,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T03:00:00.000000+0000,,,,,,,,,,,,,,,,,,,,,0.0,,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T03:15:00.000000+0000,,,,,,,,,,,,,,,,,,,,,0.0,,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T03:30:00.000000+0000,,,,,,,,,,,,,,,,,,,,,0.0,,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T03:45:00.000000+0000,,,,,,,,,,,,,,,,,,,,,0.0,,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T04:00:00.000000+0000,,,,,,,,,,,,,,,,,,,,,0.0,,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T04:15:00.000000+0000,,,,,,,,,,,,,,,,,,,,,0.0,,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T04:30:00.000000+0000,,,,,,,,,,,,,,,,,,,,,0.0,,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T04:45:00.000000+0000,,,,,,,,,,,,,,,,,,,,,0.0,,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T05:00:00.000000+0000,,,,,,,,,,,,,,,,,,,,,0.0,,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T05:15:00.000000+0000,,,,,,,,,,,,,,,,,,,,,0.0,,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T05:30:00.000000+0000,,,,,,,,,,,,,,,,,,,,,0.0,,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T05:45:00.000000+0000,,,,,,,,,,,,,,,,,,,,,0.0,,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T06:00:00.000000+0000,,,,,,,,,,,,,,,,,,,,,0.0,,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T06:15:00.000000+0000,,,,,,,,,,,,,,,,,,,,,0.0,,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T06:30:00.000000+0000,,,,,,,,,,,,,,,,,,,,,0.0,,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T06:45:00.000000+0000,,,,,,,,,,,,,,,,,,,,,0.0,,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T07:00:00.000000+0000,,,,,,,,,,,,,,,,,,,,,0.0,,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T07:15:00.000000+0000,,,,,,,,,,,,,,,,,,,,,0.0,,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T07:30:00.000000+0000,,,,,,,,,,,,,,,,,,,,,0.0,,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T07:45:00.000000+0000,73.67,164.13,14.11,30.42,31.76,24.14,2.65,2.63,,4.51,18.66,,,2.63,6.89,21.79,71.02,0.37,55.2,0.0,0.0,7.1,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T08:00:00.000000+0000,75.82,169.0,5.84,22.53,29.36,22.31,2.48,2.54,,5.0,19.01,,,2.7,7.1,22.43,69.67,0.6,50.78,0.0,0.0,38.4,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T08:15:00.000000+0000,75.82,169.0,5.63,18.51,21.98,16.72,2.19,2.5,1.63,4.61,18.94,,,2.67,7.03,22.76,68.0,0.93,47.5,0.0,0.0,73.5,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T08:30:00.000000+0000,75.82,169.0,5.63,16.8,18.71,14.22,2.04,2.47,4.97,4.58,18.99,,,2.7,7.09,23.14,67.2,0.61,51.72,0.0,0.0,109.8,,
site_5766,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2024-01-01T08:45:00.000000+0000,74.39,165.77,5.63,17.29,19.65,14.93,1.88,2.45,5.92,4.58,18.97,,,2.74,7.17,23.64,65.27,0.73,45.33,0.0,0.0,136.8,,
