persona,season,locality,rank_mean,rank_std,rank_median,p_rank1,p_top3,p_top5,p_top10,rank_95_lo,rank_95_hi
student_fresher,Winter,Wagholi,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
student_fresher,Winter,Wadgaon Sheri,2.42,0.49,2.0,0.0,1.0,1.0,1.0,2.0,3.0
student_fresher,Winter,Hinjewadi,2.92,0.93,3.0,0.0,0.703,0.99,1.0,2.0,5.0
student_fresher,Winter,Katraj,3.7,0.46,4.0,0.0,0.297,1.0,1.0,3.0,4.0
student_fresher,Winter,Kondhwa,4.97,0.18,5.0,0.0,0.0,1.0,1.0,4.0,5.0
student_fresher,Winter,Pimpri Chinchwad,6.08,0.47,6.0,0.0,0.0,0.011,0.998,6.0,7.0
student_fresher,Winter,Undri,7.09,0.48,7.0,0.0,0.0,0.0,1.0,6.0,8.0
student_fresher,Winter,Mahalunge,8.41,0.62,8.0,0.0,0.0,0.0,0.996,7.0,9.0
student_fresher,Winter,Moshi,8.71,1.05,9.0,0.0,0.0,0.0,0.943,7.0,11.0
student_fresher,Winter,Wakad,10.81,1.55,10.0,0.0,0.0,0.0,0.653,9.0,14.0
student_fresher,Winter,Punawale,11.57,1.02,11.0,0.0,0.0,0.0,0.043,10.0,15.0
student_fresher,Winter,Lohegaon,11.97,1.9,12.0,0.0,0.0,0.0,0.275,10.0,18.0
student_fresher,Winter,Hadapsar,13.21,1.87,13.0,0.0,0.0,0.0,0.02,11.0,19.0
student_fresher,Winter,Aundh,14.85,2.72,16.0,0.0,0.0,0.0,0.065,9.0,18.0
student_fresher,Winter,Keshav Nagar,15.33,1.06,15.0,0.0,0.0,0.0,0.0,14.0,19.0
student_fresher,Winter,Manjri,15.55,2.23,15.0,0.0,0.0,0.0,0.0,13.0,21.0
student_fresher,Winter,Kharadi,17.68,1.29,18.0,0.0,0.0,0.0,0.0,14.0,20.0
student_fresher,Winter,Dhanori,17.81,2.27,17.0,0.0,0.0,0.0,0.0,15.0,22.0
student_fresher,Winter,Bavdhan,17.85,2.05,18.0,0.0,0.0,0.0,0.0,13.0,20.0
student_fresher,Winter,Balewadi,19.88,0.71,20.0,0.0,0.0,0.0,0.0,18.0,21.0
student_fresher,Winter,Viman Nagar,20.19,1.73,21.0,0.0,0.0,0.0,0.0,14.0,21.0
student_fresher,Winter,Koregaon Park,21.36,2.93,22.0,0.0,0.0,0.0,0.008,12.0,24.0
student_fresher,Winter,NIBM Road,23.26,0.79,23.0,0.0,0.0,0.0,0.0,22.0,24.0
student_fresher,Winter,Baner,23.39,0.49,23.0,0.0,0.0,0.0,0.0,23.0,24.0
student_fresher,Winter,Magarpatta,25.02,0.14,25.0,0.0,0.0,0.0,0.0,25.0,25.0
student_fresher,Winter,EON Free Zone,26.11,0.31,26.0,0.0,0.0,0.0,0.0,26.0,27.0
student_fresher,Winter,Kalyani Nagar,26.87,0.4,27.0,0.0,0.0,0.0,0.0,26.0,27.0
junior_it,Winter,Wagholi,1.52,0.75,1.0,0.63,0.997,1.0,1.0,1.0,3.0
junior_it,Winter,Hinjewadi,2.23,1.2,2.0,0.274,0.881,0.986,1.0,1.0,5.0
junior_it,Winter,Kharadi,3.44,1.46,3.0,0.066,0.604,0.937,0.999,1.0,8.0
junior_it,Winter,Wadgaon Sheri,3.89,1.42,4.0,0.017,0.389,0.892,1.0,2.0,7.0
junior_it,Winter,Aundh,4.82,1.42,5.0,0.012,0.118,0.756,0.996,2.0,8.0
junior_it,Winter,Keshav Nagar,6.43,1.69,6.0,0.0,0.0,0.266,0.978,4.0,10.0
junior_it,Winter,Kondhwa,8.26,2.28,8.0,0.0,0.01,0.089,0.807,4.0,13.0
junior_it,Winter,Wakad,8.99,2.71,8.0,0.0,0.0,0.039,0.688,5.0,15.0
junior_it,Winter,Mahalunge,9.1,1.09,9.0,0.0,0.0,0.001,0.898,7.0,11.0
junior_it,Winter,Viman Nagar,9.94,2.38,10.0,0.0,0.0,0.001,0.57,7.0,14.0
junior_it,Winter,Pimpri Chinchwad,10.3,2.26,11.0,0.0,0.0,0.028,0.483,5.0,14.0
junior_it,Winter,Hadapsar,12.14,1.74,12.0,0.0,0.0,0.0,0.138,8.0,15.0
junior_it,Winter,Katraj,12.81,2.36,13.0,0.0,0.0,0.004,0.178,7.0,16.0
junior_it,Winter,Koregaon Park,13.57,3.3,14.0,0.0,0.0,0.001,0.182,7.0,21.0
junior_it,Winter,Undri,15.6,1.96,15.0,0.0,0.0,0.0,0.006,12.0,19.0
junior_it,Winter,Baner,16.76,1.83,16.0,0.0,0.0,0.0,0.0,14.0,21.0
junior_it,Winter,EON Free Zone,16.78,4.01,17.0,0.0,0.0,0.0,0.076,9.0,24.0
junior_it,Winter,Punawale,17.44,1.64,18.0,0.0,0.0,0.0,0.0,14.0,20.0
junior_it,Winter,Lohegaon,17.95,1.79,18.0,0.0,0.0,0.0,0.0,15.0,21.0
junior_it,Winter,Manjri,20.02,1.49,20.0,0.0,0.0,0.0,0.0,17.0,23.0
junior_it,Winter,Balewadi,20.96,1.68,21.0,0.0,0.0,0.0,0.0,18.0,24.0
junior_it,Winter,Dhanori,22.05,1.22,22.0,0.0,0.0,0.0,0.0,19.0,24.0
junior_it,Winter,Moshi,22.29,2.23,23.0,0.0,0.0,0.0,0.0,18.0,26.0
junior_it,Winter,Kalyani Nagar,24.72,2.55,25.0,0.0,0.0,0.0,0.0,18.0,27.0
junior_it,Winter,Magarpatta,24.8,1.19,25.0,0.0,0.0,0.0,0.0,22.0,27.0
junior_it,Winter,NIBM Road,25.31,1.31,25.0,0.0,0.0,0.0,0.0,23.0,27.0
junior_it,Winter,Bavdhan,25.9,1.06,26.0,0.0,0.0,0.0,0.0,24.0,27.0
senior_it,Winter,Koregaon Park,1.12,0.41,1.0,0.912,1.0,1.0,1.0,1.0,3.0
senior_it,Winter,Aundh,2.3,0.53,2.0,0.035,1.0,1.0,1.0,1.0,3.0
senior_it,Winter,Hinjewadi,2.59,0.59,3.0,0.053,1.0,1.0,1.0,1.0,3.0
senior_it,Winter,Wakad,4.22,0.52,4.0,0.0,0.0,0.951,1.0,4.0,6.0
senior_it,Winter,Balewadi,5.53,0.71,5.0,0.0,0.0,0.599,1.0,5.0,7.0
senior_it,Winter,Kalyani Nagar,5.65,0.79,6.0,0.0,0.0,0.337,1.0,4.0,7.0
senior_it,Winter,Wagholi,7.29,1.26,8.0,0.0,0.0,0.114,1.0,4.0,9.0
senior_it,Winter,Baner,7.45,0.69,7.0,0.0,0.0,0.0,0.999,6.0,9.0
senior_it,Winter,Wadgaon Sheri,9.61,0.49,10.0,0.0,0.0,0.0,1.0,9.0,10.0
senior_it,Winter,Pimpri Chinchwad,10.06,1.25,10.0,0.0,0.0,0.0,0.61,8.0,13.0
senior_it,Winter,Viman Nagar,10.58,1.18,11.0,0.0,0.0,0.0,0.39,8.0,12.0
senior_it,Winter,Katraj,11.75,0.49,12.0,0.0,0.0,0.0,0.0,11.0,12.0
