place,lat,lon,in_pune
Hadapsar,18.5007741,73.9379146,True
Kharadi,18.5512763,73.9416575,True
Hinjewadi,18.5920682,73.7576392,True
Wagholi,18.5806299,73.9833099,True
Wakad,18.6022495,73.7644454,True
Baner,18.5589937,73.7845232,True
Lohegaon,18.5803749,73.9182265,True
Undri,18.4516288,73.8927589,True
Keshav Nagar,18.5322658,73.9383844,True
Dhanori,18.5906707,73.8913189,True
Manjri,18.5058249,73.9623288,True
Viman Nagar,18.5703877,73.9133336,True
Balewadi,18.5820266,73.7689831,True
Magarpatta,18.5111545,73.9273823,True
Aundh,18.5618834,73.8101957,True
Wadgaon Sheri,18.548967,73.9149296,True
Kalyani Nagar,18.5481382,73.9025513,True
Punawale,18.6382904,73.7461948,True
Pimpri Chinchwad,18.6279288,73.8009829,True
Kondhwa,18.4779905,73.8940627,True
EON Free Zone,18.551815,73.951153,True
NIBM Road,18.4774151,73.9097744,True
Koregaon Park,18.5366225,73.8932738,True
Bavdhan,18.5209541,73.7780873,True
Katraj,18.4536792,73.8563196,True
Moshi,18.6523154,73.8442032,True
Mahalunge,18.5896,73.718,True
Hinjewadi,18.5920682,73.7576392,True
Kharadi,18.5512763,73.9416575,True
Shivaji Nagar,18.532172,73.8496602,True
