locality,n_listings,median_rent,median_rent_per_sqft,rent_iqr,median_area,median_rent_1,median_rent_2,median_rent_3,median_rent_4,median_rent_5
Katraj,16,13500.0,17.5,10729.0,805.0,10000.0,15000.0,33000.0,22917.0,
Moshi,16,14750.0,19.82,12250.0,862.0,12000.0,14000.0,25000.0,,
Wadgaon Sheri,21,15000.0,27.27,6500.0,650.0,15000.0,26000.0,33500.0,,
Pimpri Chinchwad,20,15000.0,22.4,9500.0,725.0,12500.0,18250.0,35000.0,,
Lohegaon,35,16500.0,18.18,14500.0,710.0,7000.0,20000.0,30000.0,,
Wagholi,94,19250.0,23.91,10750.0,800.0,12500.0,20000.0,29000.0,42500.0,
Kondhwa,20,19750.0,21.63,21625.0,938.0,8000.0,24500.0,35500.0,52000.0,
Manjri,26,19950.0,27.52,11000.0,750.0,15000.0,19900.0,35000.0,,
Hadapsar,106,20000.0,27.13,21375.0,750.0,11000.0,27000.0,37500.0,95000.0,17000.0
Dhanori,26,22500.0,28.3,5750.0,785.0,10000.0,23000.0,30000.0,,
Undri,34,22750.0,22.56,13250.0,870.0,12000.0,16000.0,26000.0,75000.0,
Punawale,20,23000.0,30.13,3250.0,792.0,20000.0,23000.0,27500.0,,
Hinjewadi,93,25500.0,33.71,9500.0,783.0,22000.0,25000.0,33500.0,61500.0,75000.0
Mahalunge,15,26000.0,35.99,6000.0,729.0,19000.0,25000.0,30000.0,,
Keshav Nagar,31,28000.0,35.0,10500.0,783.0,22000.0,28000.0,37500.0,,
Wakad,53,30000.0,34.39,9000.0,910.0,20000.0,29500.0,40000.0,90000.0,
Balewadi,21,35000.0,39.06,15000.0,870.0,23000.0,35000.0,45000.0,90000.0,
NIBM Road,17,35000.0,26.59,29000.0,1250.0,17000.0,23000.0,45000.0,77000.0,
Kharadi,94,35500.0,36.78,26000.0,922.0,15000.0,33000.0,51000.0,100000.0,
Bavdhan,17,36000.0,30.61,12000.0,1250.0,15000.0,31500.0,38000.0,75000.0,160000.0
Aundh,20,37500.0,38.4,66250.0,1125.0,18500.0,35000.0,46000.0,215000.0,
Viman Nagar,24,40000.0,43.54,24250.0,850.0,22500.0,40000.0,60000.0,,150000.0
Baner,36,40000.0,40.0,31750.0,1225.0,21000.0,35000.0,40500.0,130000.0,
Magarpatta,21,45000.0,35.9,48000.0,1350.0,20000.0,31000.0,51750.0,125000.0,
Koregaon Park,15,50000.0,44.83,40000.0,1150.0,25500.0,45000.0,70000.0,250000.0,480000.0
EON Free Zone,18,50500.0,40.0,36250.0,1300.0,,39000.0,58000.0,130000.0,
Kalyani Nagar,19,66000.0,45.24,43500.0,1480.0,21500.0,37000.0,66000.0,180000.0,390000.0
