locality,mean_rank,rank_std,rank_ci_lower,rank_ci_upper,best_rank,worst_rank,p_top1,p_top3,p_top5
Hinjewadi,1.1,0.43,1.0,2.0,1,7,0.936,0.991,1.0
Wagholi,2.36,0.91,1.0,5.0,1,10,0.05,0.908,0.99
Wadgaon Sheri,3.35,0.91,2.0,6.0,1,8,0.013,0.656,0.969
Wakad,4.37,1.76,2.0,8.0,2,15,0.0,0.349,0.699
Pimpri Chinchwad,5.19,1.42,3.0,9.0,1,15,0.001,0.062,0.728
Katraj,6.35,2.07,4.0,11.0,1,17,0.0,0.01,0.367
Hadapsar,8.41,2.02,6.0,14.0,5,19,0.0,0.0,0.002
Aundh,8.78,3.4,4.0,18.0,3,19,0.0,0.016,0.145
Kondhwa,8.79,1.69,6.0,12.0,5,15,0.0,0.0,0.001
Balewadi,11.17,3.29,6.0,18.0,3,20,0.0,0.0,0.015
Kharadi,12.34,4.22,5.0,20.0,2,23,0.0,0.004,0.067
Mahalunge,12.44,1.3,10.0,15.0,8,17,0.0,0.0,0.0
Keshav Nagar,13.0,2.49,8.0,18.0,5,20,0.0,0.0,0.0
Lohegaon,14.85,3.58,9.0,21.0,6,24,0.0,0.0,0.0
Punawale,15.54,2.21,11.0,20.0,10,23,0.0,0.0,0.0
Moshi,16.32,4.47,9.0,25.0,5,26,0.0,0.0,0.0
Koregaon Park,16.48,5.38,6.0,23.0,2,26,0.0,0.004,0.017
Undri,17.77,2.49,12.0,22.0,7,25,0.0,0.0,0.0
Viman Nagar,17.98,2.94,12.0,22.0,7,23,0.0,0.0,0.0
Baner,18.95,3.67,11.0,23.0,6,24,0.0,0.0,0.0
Manjri,19.42,2.81,14.0,25.0,10,26,0.0,0.0,0.0
Bavdhan,20.71,2.14,16.0,23.0,11,24,0.0,0.0,0.0
Dhanori,20.97,2.12,16.0,24.0,12,26,0.0,0.0,0.0
Magarpatta,24.25,0.75,23.0,25.0,19,26,0.0,0.0,0.0
EON Free Zone,25.31,1.49,21.0,27.0,11,27,0.0,0.0,0.0
NIBM Road,25.67,1.07,24.0,27.0,21,27,0.0,0.0,0.0
Kalyani Nagar,26.13,1.76,20.0,27.0,12,27,0.0,0.0,0.0
