locality,composite_subjective,rank_subjective,topsis,rank_topsis
Hinjewadi,73.0,1,0.7812,1
Wagholi,67.7,2,0.7533,2
Wadgaon Sheri,65.3,3,0.6964,3
Wakad,64.1,4,0.6704,4
Pimpri Chinchwad,62.9,5,0.6499,5
Katraj,61.9,6,0.644,6
Hadapsar,59.3,7,0.6166,8
Aundh,59.0,8,0.595,10
Kondhwa,58.9,9,0.6345,7
Balewadi,57.2,10,0.5758,14
Kharadi,55.6,11,0.5799,12
Mahalunge,55.2,12,0.5974,9
Keshav Nagar,55.0,13,0.5874,11
Lohegaon,53.4,14,0.5713,15
Punawale,53.1,15,0.5762,13
Moshi,52.4,16,0.5609,17
Koregaon Park,52.3,17,0.4934,22
Undri,51.7,18,0.5634,16
Viman Nagar,51.4,19,0.5238,20
Manjri,50.4,20,0.5469,18
Baner,50.4,20,0.4848,23
Dhanori,49.6,22,0.5349,19
Bavdhan,49.3,23,0.5077,21
Magarpatta,42.8,24,0.3975,25
EON Free Zone,40.5,25,0.3915,26
NIBM Road,40.1,26,0.4164,24
Kalyani Nagar,37.2,27,0.333,27
