locality,aqi_station,monsoon_aqi,summer_aqi,winter_aqi
Hadapsar,Hadapsar,73.5,125.9,151.0
Kharadi,Hadapsar,73.5,125.9,151.0
Hinjewadi,Bhumkar Nagar,66.1,143.5,182.4
Wagholi,Hadapsar,73.5,125.9,151.0
Wakad,Bhumkar Nagar,66.1,143.5,182.4
Baner,Panchawati-Pashan,54.7,99.5,101.5
Lohegaon,Hadapsar,73.5,125.9,151.0
Undri,Katraj Dairy,50.5,88.3,114.5
Keshav Nagar,Hadapsar,73.5,125.9,151.0
Dhanori,Hadapsar,73.5,125.9,151.0
Manjri,Hadapsar,73.5,125.9,151.0
Viman Nagar,Alandi,62.3,120.2,132.5
Balewadi,Bhumkar Nagar,66.1,143.5,182.4
Magarpatta,Hadapsar,73.5,125.9,151.0
Aundh,Panchawati-Pashan,54.7,99.5,101.5
Wadgaon Sheri,Bhosari,65.1,107.7,119.6
Kalyani Nagar,Alandi,62.3,120.2,132.5
Punawale,Bhumkar Nagar,66.1,143.5,182.4
Pimpri Chinchwad,Bhosari,65.1,107.7,119.6
Kondhwa,Katraj Dairy,50.5,88.3,114.5
EON Free Zone,Hadapsar,73.5,125.9,151.0
NIBM Road,Katraj Dairy,50.5,88.3,114.5
Koregaon Park,Karve Road,52.9,146.9,111.5
Bavdhan,Bhumkar Nagar,66.1,143.5,182.4
Katraj,Katraj Dairy,50.5,88.3,114.5
Moshi,Alandi,62.3,120.2,132.5
Mahalunge,Bhosari,65.1,107.7,119.6
