locality,season,persona,rent_score,col_score,commute_score,aqi_score,safety_score,lifestyle_score,composite_index,rank,verdict
Hadapsar,Monsoon,Student / Fresher,87.6,50.0,54.0,0.0,0.0,55.3,57.6,12,Good
Kharadi,Monsoon,Student / Fresher,58.1,50.0,100.0,0.0,40.0,13.0,52.8,17,Average
Hinjewadi,Monsoon,Student / Fresher,77.1,50.0,100.0,32.2,60.0,100.0,70.3,3,Excellent
Wagholi,Monsoon,Student / Fresher,89.0,50.0,64.9,0.0,80.0,37.7,70.5,1,Excellent
Wakad,Monsoon,Student / Fresher,68.6,50.0,77.0,32.2,40.0,95.2,60.9,7,Good
Baner,Monsoon,Student / Fresher,49.5,50.0,45.4,81.7,20.0,93.0,48.6,23,Average
Lohegaon,Monsoon,Student / Fresher,94.3,50.0,31.6,0.0,0.0,6.8,55.9,14,Good
Undri,Monsoon,Student / Fresher,82.4,50.0,25.3,100.0,40.0,0.4,60.6,8,Good
Keshav Nagar,Monsoon,Student / Fresher,72.4,50.0,75.3,0.0,20.0,13.5,53.8,16,Average
Dhanori,Monsoon,Student / Fresher,82.9,50.0,29.9,0.0,0.0,10.7,50.8,22,Average
Manjri,Monsoon,Student / Fresher,87.7,50.0,31.6,0.0,0.0,0.0,52.6,19,Average
Viman Nagar,Monsoon,Student / Fresher,49.5,50.0,63.2,48.7,60.0,35.9,51.8,20,Average
Balewadi,Monsoon,Student / Fresher,59.0,50.0,50.6,32.2,40.0,99.8,54.2,15,Average
Magarpatta,Monsoon,Student / Fresher,40.0,50.0,50.0,0.0,20.0,43.4,38.2,25,Below Average
Aundh,Monsoon,Student / Fresher,54.3,50.0,60.9,81.7,60.0,98.1,58.5,10,Good
Wadgaon Sheri,Monsoon,Student / Fresher,97.1,50.0,48.9,36.5,40.0,49.9,68.9,4,Good
Kalyani Nagar,Monsoon,Student / Fresher,0.0,50.0,56.3,48.7,60.0,77.4,30.9,27,Below Average
Punawale,Monsoon,Student / Fresher,81.9,50.0,49.4,32.2,20.0,0.7,56.4,13,Good
Pimpri Chinchwad,Monsoon,Student / Fresher,97.1,50.0,35.1,36.5,20.0,66.7,65.4,6,Good
Kondhwa,Monsoon,Student / Fresher,88.1,50.0,37.4,100.0,40.0,34.1,66.1,5,Good
EON Free Zone,Monsoon,Student / Fresher,29.5,50.0,83.3,0.0,20.0,6.6,34.9,26,Below Average
NIBM Road,Monsoon,Student / Fresher,59.0,50.0,21.8,100.0,0.0,11.9,44.4,24,Average
Koregaon Park,Monsoon,Student / Fresher,30.5,50.0,52.3,89.6,100.0,87.7,52.8,17,Average
Bavdhan,Monsoon,Student / Fresher,57.1,50.0,31.6,32.2,60.0,35.8,51.3,21,Average
Katraj,Monsoon,Student / Fresher,100.0,50.0,20.7,100.0,40.0,47.5,70.4,2,Excellent
Moshi,Monsoon,Student / Fresher,97.6,50.0,0.0,48.7,20.0,12.6,60.0,9,Good
Mahalunge,Monsoon,Student / Fresher,76.2,50.0,45.4,36.5,40.0,27.2,58.0,11,Good
Hadapsar,Monsoon,Junior IT Professional,87.6,50.0,54.0,0.0,0.0,55.3,50.1,18,Average
Kharadi,Monsoon,Junior IT Professional,58.1,50.0,100.0,0.0,40.0,13.0,54.6,11,Average
Hinjewadi,Monsoon,Junior IT Professional,77.1,50.0,100.0,32.2,60.0,100.0,71.5,1,Excellent
Wagholi,Monsoon,Junior IT Professional,89.0,50.0,64.9,0.0,80.0,37.7,60.3,7,Good
Wakad,Monsoon,Junior IT Professional,68.6,50.0,77.0,32.2,40.0,95.2,60.9,5,Good
Baner,Monsoon,Junior IT Professional,49.5,50.0,45.4,81.7,20.0,93.0,52.6,13,Average
Lohegaon,Monsoon,Junior IT Professional,94.3,50.0,31.6,0.0,0.0,6.8,44.0,22,Average
Undri,Monsoon,Junior IT Professional,82.4,50.0,25.3,100.0,40.0,0.4,57.6,8,Good
Keshav Nagar,Monsoon,Junior IT Professional,72.4,50.0,75.3,0.0,20.0,13.5,50.7,17,Average
Dhanori,Monsoon,Junior IT Professional,82.9,50.0,29.9,0.0,0.0,10.7,40.4,24,Average
Manjri,Monsoon,Junior IT Professional,87.7,50.0,31.6,0.0,0.0,0.0,41.7,23,Average
Viman Nagar,Monsoon,Junior IT Professional,49.5,50.0,63.2,48.7,60.0,35.9,53.3,12,Average
Balewadi,Monsoon,Junior IT Professional,59.0,50.0,50.6,32.2,40.0,99.8,51.7,15,Average
Magarpatta,Monsoon,Junior IT Professional,40.0,50.0,50.0,0.0,20.0,43.4,36.2,27,Below Average
Aundh,Monsoon,Junior IT Professional,54.3,50.0,60.9,81.7,60.0,98.1,62.2,4,Good
