locality,composite_entropy,rank_entropy
Koregaon Park,83.2,1
Aundh,80.8,2
Baner,66.1,3
Hinjewadi,63.9,4
Kalyani Nagar,61.1,5
Wadgaon Sheri,56.9,6
Wagholi,56.3,7
Pimpri Chinchwad,55.1,8
Katraj,54.8,9
Wakad,53.8,10
Viman Nagar,52.5,11
Balewadi,51.7,12
Kondhwa,51.6,13
Mahalunge,48.0,14
Undri,39.4,15
Kharadi,39.0,16
Hadapsar,38.3,17
Magarpatta,36.3,18
Bavdhan,35.3,19
Keshav Nagar,32.0,20
Moshi,30.9,21
NIBM Road,29.8,22
EON Free Zone,27.6,23
Dhanori,21.5,24
Lohegaon,21.3,25
Manjri,18.7,26
Punawale,17.0,27
