locality,Monsoon,Summer,Winter,rank_winter
Wadgaon Sheri,64.0,67.0,68.1,1
Hinjewadi,71.2,68.6,68.0,2
Wagholi,62.7,66.2,66.5,3
Pimpri Chinchwad,61.6,64.6,65.7,4
Katraj,66.9,66.9,65.2,5
Aundh,62.1,62.0,64.0,6
Kondhwa,63.9,63.9,62.2,7
Wakad,62.3,59.7,59.1,8
Hadapsar,54.3,57.9,58.2,9
Mahalunge,53.8,56.9,58.0,10
Koregaon Park,56.2,47.3,56.0,11
Baner,53.6,53.5,55.4,12
Undri,56.7,56.7,55.1,13
Kharadi,50.6,54.2,54.5,14
Keshav Nagar,50.0,53.6,53.9,15
Moshi,52.3,52.0,53.6,16
Viman Nagar,51.3,51.0,52.6,17
Lohegaon,48.4,52.0,52.3,18
Balewadi,55.4,52.8,52.2,19
Manjri,45.4,49.0,49.3,20
Dhanori,44.6,48.2,48.4,21
Punawale,51.4,48.7,48.1,22
Bavdhan,47.5,44.9,44.3,23
NIBM Road,45.1,45.1,43.5,24
Magarpatta,37.8,41.4,41.7,25
EON Free Zone,35.5,39.1,39.4,26
Kalyani Nagar,37.1,36.7,38.4,27
