locality,composite_subjective,composite_entropy,topsis,rank_subjective,rank_entropy,rank_topsis
Wadgaon Sheri,68.1,56.9,0.7001,1,6,3
Hinjewadi,68.0,63.9,0.7007,2,4,2
Wagholi,66.5,56.3,0.7238,3,7,1
Pimpri Chinchwad,65.7,55.1,0.6552,4,8,4
Katraj,65.2,54.8,0.6515,5,9,5
Aundh,64.0,80.8,0.6155,6,2,8
Kondhwa,62.2,51.6,0.6439,7,13,6
Wakad,59.1,53.8,0.617,8,10,7
Hadapsar,58.2,38.3,0.6046,9,17,10
Mahalunge,58.0,48.0,0.6069,10,14,9
Koregaon Park,56.0,83.2,0.513,11,1,22
Baner,55.4,66.1,0.5145,12,3,21
Undri,55.1,39.4,0.5759,13,15,12
Kharadi,54.5,39.0,0.569,14,16,13
Keshav Nagar,53.9,32.0,0.576,15,20,11
Moshi,53.6,30.9,0.563,16,21,15
Viman Nagar,52.6,52.5,0.5297,17,11,19
Lohegaon,52.3,21.3,0.5635,18,25,14
Balewadi,52.2,51.7,0.5379,19,12,18
Manjri,49.3,18.7,0.5399,20,26,17
Dhanori,48.4,21.5,0.5281,21,24,20
Punawale,48.1,17.0,0.5447,22,27,16
Bavdhan,44.3,35.3,0.4773,23,19,23
NIBM Road,43.5,29.8,0.4413,24,22,24
Magarpatta,41.7,36.3,0.3969,25,18,25
EON Free Zone,39.4,27.6,0.3913,26,23,26
Kalyani Nagar,38.4,61.1,0.3484,27,5,27
