locality,affordability,livability,pareto_optimal
Wadgaon Sheri,97.1,54.1,True
Hinjewadi,77.1,65.0,True
Wagholi,89.0,55.349999999999994,True
Pimpri Chinchwad,97.1,49.849999999999994,False
Katraj,100.0,48.025000000000006,True
Aundh,54.3,79.75,True
Kondhwa,88.1,48.85,False
Wakad,68.6,53.05,False
Hadapsar,87.6,37.025,False
Mahalunge,76.2,47.55,False
Koregaon Park,30.5,81.89999999999999,True
Baner,49.5,64.6,False
Undri,82.4,37.4,False
Kharadi,58.1,47.95,False
Keshav Nagar,72.4,36.9,False
Moshi,97.6,23.575,False
Viman Nagar,49.5,55.2,False
Lohegaon,94.3,19.3,False
Balewadi,59.0,47.599999999999994,False
Manjri,87.7,17.6,False
Dhanori,82.9,19.849999999999998,False
Punawale,81.9,17.525000000000002,False
Bavdhan,57.1,31.849999999999998,False
NIBM Road,59.0,29.400000000000002,False
Magarpatta,40.0,38.05,False
EON Free Zone,29.5,37.175,False
Kalyani Nagar,0.0,63.85,False
