persona,season,top_locality,index
Student / Fresher,Monsoon,Katraj,70.4
Junior IT Professional,Monsoon,Hinjewadi,71.5
Senior IT Professional,Monsoon,Hinjewadi,76.8
Family with Kids,Monsoon,Koregaon Park,78.0
Remote Worker,Monsoon,Katraj,72.0
Student / Fresher,Winter,Wagholi,72.4
Junior IT Professional,Winter,Wadgaon Sheri,67.0
Senior IT Professional,Winter,Aundh,73.7
Family with Kids,Winter,Koregaon Park,77.7
Remote Worker,Winter,Aundh,77.0
Student / Fresher,Summer,Wagholi,72.2
Junior IT Professional,Summer,Hinjewadi,67.5
Senior IT Professional,Summer,Hinjewadi,74.1
Family with Kids,Summer,Aundh,73.1
Remote Worker,Summer,Katraj,72.0
