locality,mean_rank,rank_std,rank_ci_lower,rank_ci_upper,best_rank,worst_rank,p_top1,p_top3,p_top5
Wadgaon Sheri,2.06,1.09,1.0,5.0,1,8,0.39,0.917,0.994
Hinjewadi,3.06,2.51,1.0,9.0,1,18,0.438,0.648,0.818
Wagholi,3.59,1.73,1.0,7.0,1,12,0.084,0.526,0.848
Pimpri Chinchwad,4.19,1.53,2.0,8.0,1,13,0.012,0.345,0.831
Katraj,4.68,1.98,2.0,9.0,1,17,0.012,0.292,0.708
Aundh,5.45,2.71,1.0,12.0,1,18,0.062,0.234,0.483
Kondhwa,7.01,1.54,4.0,10.0,3,14,0.0,0.0,0.136
Wakad,9.49,3.39,4.0,17.0,2,21,0.0,0.019,0.095
Mahalunge,10.17,1.64,8.0,13.0,6,16,0.0,0.0,0.0
Hadapsar,10.21,2.3,7.0,15.0,5,20,0.0,0.0,0.0
Koregaon Park,12.94,5.12,4.0,22.0,1,24,0.001,0.017,0.059
Undri,13.34,2.84,8.0,18.0,5,22,0.0,0.0,0.0
Baner,13.61,3.91,7.0,21.0,2,23,0.0,0.001,0.008
Kharadi,14.01,3.7,6.0,21.0,2,23,0.0,0.002,0.019
Keshav Nagar,14.79,2.11,11.0,18.0,6,20,0.0,0.0,0.0
Moshi,14.91,3.88,7.0,22.0,5,27,0.0,0.0,0.0
Lohegaon,16.26,2.9,10.0,21.0,7,24,0.0,0.0,0.0
Viman Nagar,16.72,2.77,12.0,22.0,6,23,0.0,0.0,0.0
Balewadi,16.82,3.77,10.0,23.0,4,25,0.0,0.0,0.0
Manjri,19.55,2.43,14.0,24.0,10,27,0.0,0.0,0.0
Punawale,20.83,2.29,16.0,26.0,13,27,0.0,0.0,0.0
Dhanori,20.96,1.89,16.0,24.0,13,27,0.0,0.0,0.0
Bavdhan,23.4,1.79,19.0,27.0,14,27,0.0,0.0,0.0
NIBM Road,23.97,1.81,20.0,27.0,14,27,0.0,0.0,0.0
Magarpatta,24.71,0.93,22.0,26.0,18,27,0.0,0.0,0.0
Kalyani Nagar,25.58,2.44,18.0,27.0,12,27,0.0,0.0,0.0
EON Free Zone,25.71,1.58,21.0,27.0,15,27,0.0,0.0,0.0
