locality,composite_subjective,rank_subjective,topsis,rank_topsis
Wadgaon Sheri,68.1,1,0.7001,3
Hinjewadi,68.0,2,0.7007,2
Wagholi,66.5,3,0.7238,1
Pimpri Chinchwad,65.7,4,0.6552,4
Katraj,65.2,5,0.6515,5
Aundh,64.0,6,0.6155,8
Kondhwa,62.2,7,0.6439,6
Wakad,59.1,8,0.617,7
Hadapsar,58.2,9,0.6046,10
Mahalunge,58.0,10,0.6069,9
Koregaon Park,56.0,11,0.513,22
Baner,55.4,12,0.5145,21
Undri,55.1,13,0.5759,12
Kharadi,54.5,14,0.569,13
Keshav Nagar,53.9,15,0.576,11
Moshi,53.6,16,0.563,15
Viman Nagar,52.6,17,0.5297,19
Lohegaon,52.3,18,0.5635,14
Balewadi,52.2,19,0.5379,18
Manjri,49.3,20,0.5399,17
Dhanori,48.4,21,0.5281,20
Punawale,48.1,22,0.5447,16
Bavdhan,44.3,23,0.4773,23
NIBM Road,43.5,24,0.4413,24
Magarpatta,41.7,25,0.3969,25
EON Free Zone,39.4,26,0.3913,26
Kalyani Nagar,38.4,27,0.3484,27
